mode,seed,adaptive_method_selected_by_cv,adaptive_cv_objective,static_cv_objective,adaptive_holdout_delta_r2,static_holdout_delta_r2,adaptive_minus_static,bootstrap_mean_lower,bootstrap_mean_upper,decision
unrestricted,20260911,beam_ppi,0.004086798531983397,0.004073160480497729,0.008487259880116671,0.009496494970858249,-0.0010092350907415781,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260912,beam_ppi,0.003932200870038618,0.003932200870038618,0.011975702027338109,0.011975702027338109,0.0,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260913,beam_ppi,0.0040698348548269415,0.003871671912402283,0.009496494970858249,0.010847593873096972,-0.0013510989022387232,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260914,beam_ppi,0.0042898646852736365,0.004179400700723287,0.014928816095618913,0.015894624491969767,-0.0009658083963508535,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260915,beam_ppi,0.004101659314420406,0.004049027613758766,0.011163375707803125,0.010847593873096972,0.0003157818347061525,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260916,beam_ppi,0.0040808446197974834,0.0040808446197974834,0.011975702027338109,0.011975702027338109,0.0,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260917,beam_ppi,0.0038750901093886087,0.0035400968413854374,0.014928816095618913,0.011975702027338109,0.0029531140682808044,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260918,beam_ppi,0.0037806903120872334,0.0037806903120872334,0.011975702027338109,0.011975702027338109,0.0,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260919,beam_ppi,0.003940045907899514,0.0036893003536500875,0.014928816095618913,0.01010608450345507,0.0048227315921638425,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260920,beam_ppi,0.003875126670658052,0.003723480478526388,0.010847593873096972,0.011975702027338109,-0.0011281081542411364,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260921,beam_ppi,0.003947113353234668,0.0038695278026040086,0.011163375707803125,0.010847593873096972,0.0003157818347061525,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260922,beam_ppi,0.004449901947215906,0.004449901947215906,0.01639476677760565,0.01639476677760565,0.0,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260923,beam_ppi,0.0038675518652898115,0.003664301695199737,0.014928816095618913,0.011975702027338109,0.0029531140682808044,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260924,beam_ppi,0.004058730255845807,0.003978990318684197,0.011975702027338109,0.01010608450345507,0.0018696175238830381,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260925,beam_ppi,0.00397495246178491,0.00397495246178491,0.011975702027338109,0.011975702027338109,0.0,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260926,beam_ppi,0.004458497131220095,0.004128569331234683,0.013021669926509993,0.015894624491969767,-0.0028729545654597732,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260927,beam_ppi,0.004142723300685709,0.004129956642179092,0.011163375707803125,0.010847593873096972,0.0003157818347061525,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
unrestricted,20260928,beam_ppi,0.004205431056033899,0.003958872234584739,0.01639476677760565,0.011975702027338109,0.004419064750267543,-0.0004383760273357842,0.0012808883835942226,STOP_DDQN_ROUTE
