mode,method,seed_n,holdout_delta_r2_mean,holdout_delta_r2_sd,holdout_delta_r2_min,holdout_delta_r2_max,cv_delta_r2_mean,random_percentile_mean
tln1_seeded,beam_ppi,20,0.017871057437358596,0.0017143631004138832,0.012657085794090639,0.019027609852972027,0.00543163872251883,0.984
tln1_seeded,frequency_ppi,20,0.003880697291189117,0.0,0.003880697291189117,0.003880697291189117,0.0005163934838073168,1.0
tln1_seeded,greedy_ppi,20,0.012874383127125156,0.006482172007302473,0.003880697291189117,0.019027609852972027,0.0035819590582364448,0.977
tln1_seeded,static_cv_ppi,20,0.015516722857632137,0.002752946422884454,0.012448134381907616,0.019027609852972027,0.004388390366912353,0.9555
unrestricted,beam_ppi,20,0.012385189470594804,0.00232402001422498,0.008487259880116671,0.01639476677760565,0.005424471842378811,0.7319315385226055
unrestricted,frequency_ppi,20,0.004515953368473102,0.0,0.004515953368473102,0.004515953368473102,0.0018870020202559588,0.7
unrestricted,greedy_ppi,20,0.011983612073938754,0.0020206800354498635,0.008487259880116671,0.01639476677760565,0.005257359447530826,0.7703800162743619
unrestricted,static_cv_ppi,20,0.011995598367542071,0.0019158160221804557,0.009496494970858249,0.01639476677760565,0.005394890521749861,0.7632274011299435
