Gene,alpha,scope,model_n,repeats,median_context_r2,median_delta_r2,delta_r2_q05,delta_r2_q95,positive_delta_fraction
TLN1,10000.0,ccrcc,12,50,0.09792986727160558,0.03961821638275442,0.03147207456013248,0.04755306785222624,1.0
TLN1,10000.0,pan_cancer,883,50,0.04124530438477192,0.0012914015060784823,0.0009213185674212088,0.0016440208501558584,1.0
TLN1,10000.0,rcc,20,50,0.09679039131505895,0.040123605020365716,0.030329679163793276,0.046467925431115845,1.0
TLN1,100000.0,ccrcc,12,50,0.01429663951705662,0.007471666356966666,0.006118231883025738,0.008678838946659629,1.0
TLN1,100000.0,pan_cancer,883,50,0.004888057128489831,0.00028235672969006975,0.00023021882380188096,0.0003325684114769523,1.0
TLN1,100000.0,rcc,20,50,0.014284356711329327,0.007729528053830759,0.0063527603556251975,0.008666748041522638,1.0
