heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Bone,inner,5,0.2,1204,8.953097350578032e-07,1.7288884248992096e-10,500,3,172
Bone,inner,5,0.5,1204,7.236777732344546e-07,9.15198849271396e-12,75,1,33
Bone,inner,5,1.0,1204,0.0,0.0,0,0,0
Bone,outer,0,0.1,1204,9.692136372155269e-07,5.045741933437163e-10,1850,6,488
Bowel,inner,1,0.1,1204,9.955109167222864e-07,8.106678328802258e-10,1575,6,496
Bowel,inner,1,0.2,1204,9.835370183564063e-07,4.5135154423672525e-10,550,4,186
Bowel,inner,1,0.5,1204,8.32044055043557e-07,1.2807838094850106e-11,75,1,33
Bowel,inner,1,1.0,1204,0.0,0.0,0,0,0
Bowel,inner,2,0.1,1204,9.928288068825064e-07,6.350674381882778e-10,1525,6,486
Bowel,inner,2,0.2,1204,9.070917180720173e-07,1.896883858517563e-10,425,3,151
Bowel,inner,2,0.5,1204,8.765869043414476e-07,3.761375999301975e-11,100,1,34
Bowel,inner,2,1.0,1204,0.0,0.0,0,0,0
Bowel,inner,3,0.1,1204,9.71971193974852e-07,5.985574102983687e-10,2050,5,530
Bowel,inner,3,0.2,1204,9.346358929712695e-07,2.2308026787972312e-10,625,3,167
Bowel,inner,3,0.5,1204,9.311519662547063e-07,1.9951635810952172e-11,100,1,41
Bowel,inner,3,1.0,1204,0.0,0.0,0,0,0
Bowel,inner,4,0.1,1204,9.972026795423972e-07,6.749088578431577e-10,2025,6,573
Bowel,inner,4,0.2,1204,9.611929076974723e-07,1.447029306140943e-10,800,4,196
Bowel,inner,4,0.5,1204,8.888543407969962e-07,1.7084603511596095e-11,75,1,39
Bowel,inner,4,1.0,1204,0.0,0.0,0,0,0
Bowel,inner,5,0.1,1204,9.987292402813264e-07,8.17939048542245e-10,2025,6,545
Bowel,inner,5,0.2,1204,9.903685352224967e-07,2.1908962964250125e-10,650,3,183
Bowel,inner,5,0.5,1204,6.709766176282717e-07,1.1621200193632983e-11,75,1,42
Bowel,inner,5,1.0,1204,0.0,0.0,0,0,0
Bowel,outer,0,0.1,1204,9.457443979829505e-07,6.558991122329331e-10,1750,6,493
Breast,inner,1,0.1,1204,9.979734815548924e-07,7.382650903463193e-10,1900,6,528
Breast,inner,1,0.2,1204,9.445207028724312e-07,1.4079968281968414e-10,675,3,198
Breast,inner,1,0.5,1204,9.823272826559037e-07,2.997797942477432e-11,125,2,37
Breast,inner,1,1.0,1204,0.0,0.0,0,0,0
Breast,inner,2,0.1,1204,9.988332353438878e-07,4.683322960409718e-10,1600,6,494
Breast,inner,2,0.2,1204,9.620207644389644e-07,1.9890370129085538e-10,450,3,159
Breast,inner,2,0.5,1204,8.09517301136875e-07,2.8165117881557463e-11,75,1,37
Breast,inner,2,1.0,1204,0.0,0.0,0,0,0
Breast,inner,3,0.1,1204,9.874389494193836e-07,7.22442158559583e-10,1600,5,483
Breast,inner,3,0.2,1204,9.120293623376963e-07,1.610670674096459e-10,650,3,167
Breast,inner,3,0.5,1204,9.654130192215948e-07,4.525780284883689e-11,75,1,33
Breast,inner,3,1.0,1204,0.0,0.0,0,0,0
Breast,inner,4,0.1,1204,9.954066142528473e-07,7.090614785684807e-10,2125,6,516
Breast,inner,4,0.2,1204,9.22898390195992e-07,1.8112637851558216e-10,700,4,198
Breast,inner,4,0.5,1204,9.131679100937706e-07,7.230959445417447e-12,100,1,44
Breast,inner,4,1.0,1204,0.0,0.0,0,0,0
Breast,inner,5,0.1,1204,9.867448599668038e-07,1.7365940501226322e-09,1850,6,542
Breast,inner,5,0.2,1204,8.999877822990499e-07,1.7405209727785832e-10,650,3,183
Breast,inner,5,0.5,1204,8.142460043714106e-07,1.2674996144701511e-11,100,1,40
Breast,inner,5,1.0,1204,0.0,0.0,0,0,0
Breast,outer,0,0.1,1204,9.488554586628561e-07,8.399549130269332e-10,1800,6,458
CNS/Brain,inner,1,0.1,1204,9.998275337513851e-07,8.739861834364977e-10,1950,6,536
CNS/Brain,inner,1,0.2,1204,9.591506271861006e-07,1.2901951063274465e-10,675,4,175
CNS/Brain,inner,1,0.5,1204,8.047536617650231e-07,9.81600395814392e-12,125,2,43
CNS/Brain,inner,1,1.0,1204,0.0,0.0,0,0,0
CNS/Brain,inner,2,0.1,1204,9.700606544288393e-07,5.568769819463201e-10,1700,5,491
CNS/Brain,inner,2,0.2,1204,9.763830160214315e-07,1.6307066566918563e-10,450,4,147
CNS/Brain,inner,2,0.5,1204,7.815741349948002e-07,1.666362724178572e-11,100,1,38
CNS/Brain,inner,2,1.0,1204,0.0,0.0,0,0,0
CNS/Brain,inner,3,0.1,1204,9.616110351537421e-07,8.034095952806435e-10,1525,6,526
CNS/Brain,inner,3,0.2,1204,9.716926959446592e-07,2.361817769934109e-10,525,3,168
CNS/Brain,inner,3,0.5,1204,4.948155826189904e-07,4.94451891219934e-12,75,1,32
CNS/Brain,inner,3,1.0,1204,0.0,0.0,0,0,0
CNS/Brain,inner,4,0.1,1204,9.930401195512584e-07,8.669379778588632e-10,1825,6,546
CNS/Brain,inner,4,0.2,1204,9.601952833532268e-07,3.674234077270765e-10,550,3,177
CNS/Brain,inner,4,0.5,1204,9.92948570810448e-07,3.0430800429337087e-11,75,1,38
CNS/Brain,inner,4,1.0,1204,0.0,0.0,0,0,0
CNS/Brain,inner,5,0.1,1204,9.546356951536938e-07,8.938317672848076e-10,1950,6,530
CNS/Brain,inner,5,0.2,1204,9.926244221580838e-07,1.4375171117496422e-10,575,3,183
CNS/Brain,inner,5,0.5,1204,2.571963079733841e-07,1.6747462416491591e-12,100,1,46
CNS/Brain,inner,5,1.0,1204,0.0,0.0,0,0,0
CNS/Brain,outer,0,0.1,1204,9.86827816927549e-07,7.55871876250568e-10,1675,6,474
Esophagus/Stomach,inner,1,0.1,1204,9.690759116068315e-07,6.893875179342073e-10,1750,6,520
Esophagus/Stomach,inner,1,0.2,1204,9.79467741885065e-07,2.0076397035502674e-10,600,4,189
Esophagus/Stomach,inner,1,0.5,1204,8.281800290554919e-07,1.391234418209323e-11,100,1,34
Esophagus/Stomach,inner,1,1.0,1204,0.0,0.0,0,0,0
Esophagus/Stomach,inner,2,0.1,1204,9.534064744284865e-07,4.3717130062202747e-10,1700,6,512
Esophagus/Stomach,inner,2,0.2,1204,9.702650414500358e-07,1.5141959056468657e-10,500,3,164
Esophagus/Stomach,inner,2,0.5,1204,5.584814485037892e-07,9.246404994789631e-12,100,1,34
Esophagus/Stomach,inner,2,1.0,1204,0.0,0.0,0,0,0
Esophagus/Stomach,inner,3,0.1,1204,9.893162602955807e-07,1.005824486999952e-09,1800,6,525
Esophagus/Stomach,inner,3,0.2,1204,9.857138269786514e-07,1.8866404187204583e-10,575,4,171
Esophagus/Stomach,inner,3,0.5,1204,8.060162429157636e-07,2.0141484327093327e-11,75,1,45
Esophagus/Stomach,inner,3,1.0,1204,0.0,0.0,0,0,0
Esophagus/Stomach,inner,4,0.1,1204,9.972015153833502e-07,7.355604359555261e-10,2100,6,568
Esophagus/Stomach,inner,4,0.2,1204,9.68308212737079e-07,2.0540186113202401e-10,650,3,194
Esophagus/Stomach,inner,4,0.5,1204,3.2231962351914056e-07,3.638669098268814e-12,100,2,37
Esophagus/Stomach,inner,4,1.0,1204,0.0,0.0,0,0,0
Esophagus/Stomach,inner,5,0.1,1204,9.919599701715964e-07,7.946149128079079e-10,1950,6,526
Esophagus/Stomach,inner,5,0.2,1204,9.172604970159037e-07,1.6321900242265224e-10,675,3,189
Esophagus/Stomach,inner,5,0.5,1204,6.760797377491912e-07,1.6877678902540496e-11,100,1,43
Esophagus/Stomach,inner,5,1.0,1204,0.0,0.0,0,0,0
Esophagus/Stomach,outer,0,0.1,1204,9.729957936299716e-07,1.263976431282749e-09,1950,6,476
Head and Neck,inner,1,0.1,1204,9.322859875621203e-07,9.056423338230539e-10,2075,6,529
Head and Neck,inner,1,0.2,1204,9.6151183102966e-07,3.413923125012438e-10,575,3,191
Head and Neck,inner,1,0.5,1204,7.628759134958862e-07,1.071910023331477e-11,125,2,35
Head and Neck,inner,1,1.0,1204,0.0,0.0,0,0,0
Head and Neck,inner,2,0.1,1204,9.720678192590149e-07,7.56991728897329e-10,1650,5,522
Head and Neck,inner,2,0.2,1204,8.933179687919957e-07,2.8317719807059867e-10,600,4,154
Head and Neck,inner,2,0.5,1204,7.203045696568822e-07,2.253493833295584e-11,100,1,36
Head and Neck,inner,2,1.0,1204,0.0,0.0,0,0,0
