heldout_lineage,scope,inner_fold,alpha,target_n,maximum_kkt,maximum_relative_bound,maximum_iterations,maximum_working_set_passes,maximum_active_feature_n
Pancreas,inner,4,0.2,1204,9.829294418395307e-07,2.0610068666600433e-10,700,3,174
Pancreas,inner,4,0.5,1204,6.515548130747728e-07,2.373700424583905e-11,100,1,39
Pancreas,inner,4,1.0,1204,0.0,0.0,0,0,0
Pancreas,inner,5,0.1,1204,9.83085566862163e-07,6.266039592653199e-10,1975,6,535
Pancreas,inner,5,0.2,1204,8.70619295573194e-07,2.3442586537059555e-10,650,4,200
Pancreas,inner,5,0.5,1204,3.958466352760315e-07,3.200186115090047e-12,75,1,38
Pancreas,inner,5,1.0,1204,0.0,0.0,0,0,0
Pancreas,outer,0,0.1,1204,9.828666523784002e-07,7.278600864246316e-10,1750,6,472
Peripheral Nervous System,inner,1,0.1,1204,9.920196494053735e-07,8.986508148433585e-10,1725,5,503
Peripheral Nervous System,inner,1,0.2,1204,9.845978119898957e-07,2.1135707022027304e-10,650,3,191
Peripheral Nervous System,inner,1,0.5,1204,6.190251264359681e-07,7.247480228378157e-12,75,1,38
Peripheral Nervous System,inner,1,1.0,1204,0.0,0.0,0,0,0
Peripheral Nervous System,inner,2,0.1,1204,9.950765235341996e-07,1.0490456797143758e-09,1650,6,493
Peripheral Nervous System,inner,2,0.2,1204,9.768643305374525e-07,2.1449796763724043e-10,425,4,155
Peripheral Nervous System,inner,2,0.5,1204,7.538729998590732e-07,1.322484484086552e-11,75,1,34
Peripheral Nervous System,inner,2,1.0,1204,0.0,0.0,0,0,0
Peripheral Nervous System,inner,3,0.1,1204,9.477608685914962e-07,7.05571235798695e-10,1675,5,516
Peripheral Nervous System,inner,3,0.2,1204,9.664448558793781e-07,1.128200084438215e-10,550,3,176
Peripheral Nervous System,inner,3,0.5,1204,4.6725044056117326e-07,8.731499978562143e-12,75,1,42
Peripheral Nervous System,inner,3,1.0,1204,0.0,0.0,0,0,0
Peripheral Nervous System,inner,4,0.1,1204,8.660766028997791e-07,5.20166295691975e-10,1925,6,526
Peripheral Nervous System,inner,4,0.2,1204,9.065720494028096e-07,2.4206625778044804e-10,725,3,195
Peripheral Nervous System,inner,4,0.5,1204,9.453666784398074e-07,4.325840053165808e-11,100,1,39
Peripheral Nervous System,inner,4,1.0,1204,0.0,0.0,0,0,0
Peripheral Nervous System,inner,5,0.1,1204,9.182653210523806e-07,7.190530204919804e-10,1775,6,521
Peripheral Nervous System,inner,5,0.2,1204,9.650321950022134e-07,2.3205473881976868e-10,575,4,190
Peripheral Nervous System,inner,5,0.5,1204,4.811256107961626e-07,6.31730482336072e-12,75,1,33
Peripheral Nervous System,inner,5,1.0,1204,0.0,0.0,0,0,0
Peripheral Nervous System,outer,0,0.1,1204,9.964065338999295e-07,1.0215522805877528e-09,1725,6,476
Skin,inner,1,0.1,1204,9.987051618962073e-07,8.35331533501154e-10,2000,5,538
Skin,inner,1,0.2,1204,9.616133615220068e-07,3.4069046352412537e-10,600,3,177
Skin,inner,1,0.5,1204,5.844335307370052e-07,8.201886360661487e-12,75,1,33
Skin,inner,1,1.0,1204,0.0,0.0,0,0,0
Skin,inner,2,0.1,1204,9.889449156114116e-07,5.458019506707985e-10,1450,6,486
Skin,inner,2,0.2,1204,9.157985657870515e-07,1.510743134859898e-10,475,4,166
Skin,inner,2,0.5,1204,7.724306701206718e-07,1.9631956249328043e-11,75,1,33
Skin,inner,2,1.0,1204,0.0,0.0,0,0,0
Skin,inner,3,0.1,1204,9.732736635931216e-07,1.7796101408650595e-09,2175,6,521
Skin,inner,3,0.2,1204,9.853031734258222e-07,2.814869998372597e-10,575,3,167
Skin,inner,3,0.5,1204,5.442422164048111e-07,4.466031438459738e-12,75,1,42
Skin,inner,3,1.0,1204,0.0,0.0,0,0,0
Skin,inner,4,0.1,1204,9.939413909421102e-07,1.0284798116780152e-09,2225,6,567
Skin,inner,4,0.2,1204,9.752081882585806e-07,1.2929097987859167e-10,625,3,175
Skin,inner,4,0.5,1204,9.876417216281297e-07,2.5622863861265975e-11,75,1,36
Skin,inner,4,1.0,1204,0.0,0.0,0,0,0
Skin,inner,5,0.1,1204,9.91251543867866e-07,7.62075422986373e-10,2275,6,533
Skin,inner,5,0.2,1204,9.992312340473264e-07,2.3882663527852603e-10,550,4,205
Skin,inner,5,0.5,1204,5.228167957449514e-07,5.0526977568217605e-12,100,1,43
Skin,inner,5,1.0,1204,0.0,0.0,0,0,0
Skin,outer,0,0.1,1204,8.895168079545157e-07,5.643205731828967e-10,2175,6,491
Soft Tissue,inner,1,0.1,1204,9.928175699266961e-07,7.045772301864613e-10,2125,5,510
Soft Tissue,inner,1,0.2,1204,9.898741059194416e-07,1.6737056072870492e-10,675,3,195
Soft Tissue,inner,1,0.5,1204,6.257633397566131e-07,1.2971249311162908e-11,125,2,36
Soft Tissue,inner,1,1.0,1204,0.0,0.0,0,0,0
Soft Tissue,inner,2,0.1,1204,9.649378676368503e-07,8.076152952934118e-10,1475,6,477
Soft Tissue,inner,2,0.2,1204,9.542291747738352e-07,2.0850578677564209e-10,400,4,152
Soft Tissue,inner,2,0.5,1204,4.890418364433824e-07,8.066030609404629e-12,100,1,38
Soft Tissue,inner,2,1.0,1204,0.0,0.0,0,0,0
Soft Tissue,inner,3,0.1,1204,9.962269784807853e-07,5.506939724395368e-10,1575,5,510
Soft Tissue,inner,3,0.2,1204,9.455824277332381e-07,1.8818323087419837e-10,525,3,163
Soft Tissue,inner,3,0.5,1204,6.711584532581583e-07,1.0207828537244548e-11,75,1,33
Soft Tissue,inner,3,1.0,1204,0.0,0.0,0,0,0
Soft Tissue,inner,4,0.1,1204,9.788331956639418e-07,8.262800866849641e-10,1975,5,560
Soft Tissue,inner,4,0.2,1204,9.484634948542237e-07,2.640277185409585e-10,575,5,185
Soft Tissue,inner,4,0.5,1204,7.786152618205477e-07,3.006488849944586e-11,100,1,44
Soft Tissue,inner,4,1.0,1204,0.0,0.0,0,0,0
Soft Tissue,inner,5,0.1,1204,9.86668882020647e-07,5.555844840818023e-10,1875,6,528
Soft Tissue,inner,5,0.2,1204,9.738463458836e-07,2.53927238786594e-10,575,3,185
Soft Tissue,inner,5,0.5,1204,8.305938233865717e-07,1.842072114744603e-11,75,1,40
Soft Tissue,inner,5,1.0,1204,0.0,0.0,0,0,0
Soft Tissue,outer,0,0.1,1204,9.844038953918388e-07,9.47770586263793e-10,1775,6,483
Uterus,inner,1,0.1,1204,9.971679270151523e-07,1.185918513195732e-09,2150,6,516
Uterus,inner,1,0.2,1204,9.668695188091991e-07,2.058688194648825e-10,600,3,195
Uterus,inner,1,0.5,1204,9.968395180970369e-07,3.2401701652980084e-11,150,2,36
Uterus,inner,1,1.0,1204,0.0,0.0,0,0,0
Uterus,inner,2,0.1,1204,9.804734369261991e-07,5.768175717359098e-10,1700,6,513
Uterus,inner,2,0.2,1204,9.943768283782184e-07,1.6104562490813793e-10,450,3,155
Uterus,inner,2,0.5,1204,6.795527551228808e-07,8.640102782677366e-12,75,1,37
Uterus,inner,2,1.0,1204,0.0,0.0,0,0,0
Uterus,inner,3,0.1,1204,9.384548934135428e-07,7.218921460123726e-10,1750,5,523
Uterus,inner,3,0.2,1204,9.260449056885944e-07,1.5941011196295602e-10,575,4,171
Uterus,inner,3,0.5,1204,7.764551532007946e-07,1.9495967416243506e-11,75,1,43
Uterus,inner,3,1.0,1204,0.0,0.0,0,0,0
Uterus,inner,4,0.1,1204,9.974287518560443e-07,6.639007964071773e-10,1975,6,516
Uterus,inner,4,0.2,1204,8.684561822597248e-07,1.2820957058662322e-10,750,3,183
Uterus,inner,4,0.5,1204,4.900459163459381e-07,1.4901358042136726e-11,75,1,37
Uterus,inner,4,1.0,1204,0.0,0.0,0,0,0
Uterus,inner,5,0.1,1204,9.404246231956015e-07,7.532175197356761e-10,1750,6,527
Uterus,inner,5,0.2,1204,9.87298175894602e-07,1.6231539200157228e-10,525,3,191
Uterus,inner,5,0.5,1204,2.3058507223061575e-07,1.8805090833591103e-12,75,1,33
Uterus,inner,5,1.0,1204,0.0,0.0,0,0,0
Uterus,outer,0,0.1,1204,9.807167378750314e-07,7.104858998143907e-10,1700,6,460
