estimand,method,ndcg_at_10,selective_precision_at_10,top10_overlap,spearman,regret
model_weighted,exp_deepdep_absolute_secondary,0.30467952451845226,0.2565217391304348,0.10459627329192547,0.21669167387955174,0.7759831850003921
model_weighted,exp_deepdep_residual_primary,0.2774925586426098,0.2386335403726708,0.09950310559006212,0.18911728678820733,0.8161068467138843
model_weighted,expression_pcr_ridge,0.46029227464798256,0.40658385093167704,0.20422360248447205,0.31537621395282944,0.5818574037974639
lineage_equal,exp_deepdep_absolute_secondary,0.30288858155114406,0.25317847497852763,0.10367360758384436,0.21319609626642938,0.7756248674285211
lineage_equal,exp_deepdep_residual_primary,0.27443438837546674,0.23303537044685846,0.09708986248593317,0.1838865163883935,0.82050077707597
lineage_equal,expression_pcr_ridge,0.4627592186589583,0.40662125194829035,0.20667957017444238,0.31227175779730354,0.5770426145887423
