scope,model_n,model,metric,mean,improvement_vs_global,bootstrap_lower,bootstrap_upper
kidney_lineage,24,global_mean,topk_overlap,0.37916666666666665,0.0,0.0,0.0
kidney_lineage,24,global_mean,ndcg,0.6249913532955779,0.0,0.0,0.0
kidney_lineage,24,global_mean,dependent_precision,0.3,0.0,0.0,0.0
kidney_lineage,24,global_mean,mean_selected_gene_effect,-0.42900438348666664,0.0,0.0,0.0
kidney_lineage,24,global_mean,regret,0.23184254567999998,0.0,0.0,0.0
kidney_lineage,24,background,topk_overlap,0.37916666666666665,0.0,0.0,0.0
kidney_lineage,24,background,ndcg,0.6255662442651547,0.0005748909695767491,-0.0002027968448103876,0.001340686433201012
kidney_lineage,24,background,dependent_precision,0.3,0.0,0.0,0.0
kidney_lineage,24,background,mean_selected_gene_effect,-0.42900438348666664,4.625929269271485e-18,0.0,1.3877787807814457e-17
kidney_lineage,24,background,regret,0.23184254567999998,4.625929269271485e-18,0.0,1.3877787807814457e-17
kidney_lineage,24,shared_multiomics,topk_overlap,0.4291666666666667,0.049999999999999996,0.024999999999999994,0.075
kidney_lineage,24,shared_multiomics,ndcg,0.6758562233698219,0.05086487007424401,0.03231653502177031,0.06991955888488881
kidney_lineage,24,shared_multiomics,dependent_precision,0.3625,0.0625,0.03333333333333333,0.08750000000000001
kidney_lineage,24,shared_multiomics,mean_selected_gene_effect,-0.462557093195,0.03355270970833333,0.01449823710729167,0.05305193953437497
kidney_lineage,24,shared_multiomics,regret,0.1982898359716667,0.03355270970833333,0.013715425048958342,0.053270428760416634
kidney_lineage,24,targetwise_multiomics,topk_overlap,0.38333333333333336,0.00416666666666667,-0.016666666666666663,0.029166666666666664
kidney_lineage,24,targetwise_multiomics,ndcg,0.6178214027516014,-0.007169950543976548,-0.03238482817897781,0.017142336972079984
kidney_lineage,24,targetwise_multiomics,dependent_precision,0.3,2.3129646346357427e-18,-0.025000000000000005,0.02500000000000001
kidney_lineage,24,targetwise_multiomics,mean_selected_gene_effect,-0.42890952306999997,-9.486041666665936e-05,-0.02167889504166668,0.02240799957291667
kidney_lineage,24,targetwise_multiomics,regret,0.23193740609666666,-9.486041666665936e-05,-0.02228797043749999,0.02170278442708335
rcc,20,global_mean,topk_overlap,0.385,0.0,0.0,0.0
rcc,20,global_mean,ndcg,0.6204837006694468,0.0,0.0,0.0
rcc,20,global_mean,dependent_precision,0.29500000000000004,0.0,0.0,0.0
rcc,20,global_mean,mean_selected_gene_effect,-0.424583795334,0.0,0.0,0.0
rcc,20,global_mean,regret,0.218688199666,0.0,0.0,0.0
rcc,20,background,topk_overlap,0.385,0.0,0.0,0.0
rcc,20,background,ndcg,0.6209378536515293,0.000454152982082498,-0.00042805795217829685,0.0013560950211163676
rcc,20,background,dependent_precision,0.29500000000000004,0.0,0.0,0.0
rcc,20,background,mean_selected_gene_effect,-0.424583795334,5.551115123125783e-18,0.0,1.6653345369377347e-17
rcc,20,background,regret,0.218688199666,5.551115123125783e-18,0.0,1.6653345369377347e-17
rcc,20,shared_multiomics,topk_overlap,0.42000000000000004,0.03499999999999999,0.009999999999999995,0.06499999999999997
rcc,20,shared_multiomics,ndcg,0.6676231188712581,0.04713941820181133,0.0264215136738913,0.06921057177379741
rcc,20,shared_multiomics,dependent_precision,0.34500000000000003,0.05,0.019999999999999997,0.07999999999999999
rcc,20,shared_multiomics,mean_selected_gene_effect,-0.451811450984,0.027227655650000005,0.007636571813749986,0.04697016948374996
