ModelID,model,selected_genes,oracle_genes
ACH-001163,background,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,LRPPRC|SMARCA4|ACACA|NF1|CDAN1|MED1|SMARCC2|ZNF638|BIRC6|MYO18A
ACH-001194,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|ASCC3|BIRC6|NRDC,MED1|UBA5|TLN1|PIK3CA|PPRC1|SMARCC2|CDAN1|BIRC6|MYO18A|NRDC
ACH-001310,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|ASCC3|BIRC6|NRDC,ARHGEF7|LRPPRC|MED1|EIF3L|CDAN1|APC|TLN1|BRD7|UBA5|BRIP1
ACH-001398,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,LRPPRC|ARID1A|APC|TLN1|UBA5|NFE2L2|MED1|ASCC3|ANKRD11|PIK3CA
ACH-001532,background,CDAN1|MED1|LRPPRC|UBA5|PIK3CA|PPRC1|KIF14|ASCC3|BIRC6|NRDC,CDAN1|EP300|AP2B1|BRIP1|SMARCA4|LRPPRC|PPRC1|EIF3L|DHX29|SMARCC2
ACH-001687,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|BIRC6|ASCC3|NRDC,UBA5|MED1|BRIP1|ACACA|ZNF638|ANKRD11|CDAN1|MAP4K4|MYO18A|LRPPRC
ACH-002528,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|BIRC6|ASCC3|NRDC,UBA5|MED1|ZNFX1|LRPPRC|SGO2|NRDC|CDAN1|ACACA|ZNF638|DHX29
ACH-002533,background,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|ASCC3|BIRC6|NRDC,MED1|EIF3L|ZNF638|LRPPRC|NRDC|APC|AHNAK|PPRC1|UBA5|ARID1A
ACH-000096,shared_multiomics,CDAN1|LRPPRC|MED1|KIF14|PPRC1|PIK3CA|EP300|UBA5|SMARCA4|ASCC3,CDAN1|KIF14|BRIP1|KMT2A|RNF25|LRPPRC|EIF3L|ANKRD11|PPRC1|PLEKHG2
ACH-000159,shared_multiomics,CDAN1|UBA5|LRPPRC|MED1|PPRC1|TLN1|KIF14|PIK3CA|ASCC3|BIRC6,CDAN1|UBA5|TLN1|ARID1A|SMARCA4|PPRC1|KIF14|PCSK9|EIF3L|CELSR2
ACH-000189,shared_multiomics,CDAN1|UBA5|MED1|LRPPRC|PPRC1|TLN1|KIF14|PIK3CA|NRDC|ACACA,ASCC3|TLN1|UBA5|CPAMD8|CELSR2|MYO18A|CDAN1|ACACA|PPRC1|MED1
ACH-000250,shared_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|BIRC6|NRDC|ASCC3,CDAN1|UBA5|EP300|PPRC1|ACACA|KIF14|ANKRD11|PCNT|EIF3L|MYO18A
ACH-000262,shared_multiomics,CDAN1|UBA5|MED1|LRPPRC|PPRC1|PIK3CA|TLN1|KIF14|BIRC6|ACACA,TLN1|ACACA|BRIP1|PPRC1|KIF14|EP300|MYO18A|AHNAK|PIK3CA|PDGFRA
ACH-000272,shared_multiomics,CDAN1|LRPPRC|MED1|UBA5|PPRC1|PIK3CA|TLN1|KIF14|BIRC6|NRDC,ACACA|CPAMD8|UBA5|NRDC|TLN1|NAV1|RNF25|PIK3R2|BRD7|ASCC3
ACH-000313,shared_multiomics,CDAN1|UBA5|MED1|LRPPRC|PPRC1|KIF14|TLN1|ASCC3|PIK3CA|NRDC,ARHGEF7|EP300|RNF25|TLN1|MED1|ARID1A|UBA5|PPRC1|ACACA|SMARCC2
ACH-000385,shared_multiomics,CDAN1|UBA5|LRPPRC|PPRC1|MED1|TLN1|KIF14|PIK3CA|NRDC|ACACA,UBA5|LRPPRC|CPAMD8|MED1|SPTAN1|ZMYM2|MYO18A|ARHGEF7|CEP152|EIF3L
ACH-000459,shared_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|TLN1|PIK3CA|ASCC3|NRDC,ZNF638|TLN1|ZNFX1|CPAMD8|BIRC6|ASCC3|APC|LRP2|BRD7|SMARCA4
