ModelID,model,topk_overlap,ndcg,dependent_precision,mean_selected_gene_effect,oracle_mean_gene_effect,regret,renal_cell_carcinoma,clear_cell_renal_cell_carcinoma,OncotreeSubtype
ACH-000709,background,0.2,0.502676534187586,0.0,-0.24312079567999997,-0.5092555000000001,0.2661347043200001,True,True,Renal Clear Cell Carcinoma
ACH-000907,background,0.2,0.4112738231203754,0.2,-0.22589079,-0.5969775,0.37108671000000004,True,True,Renal Clear Cell Carcinoma
ACH-001163,background,0.4,0.7242481284053048,0.3,-0.4422134,-0.5898921999999999,0.1476787999999999,True,False,Renal Medullary Carcinoma
ACH-001194,background,0.7,0.7388900253673323,0.4,-0.6826543,-0.7910143999999999,0.10836009999999985,True,False,Renal Cell Carcinoma
ACH-001310,background,0.4,0.6961329852469851,0.4,-0.45467689999999994,-0.6643793,0.20970240000000007,False,False,Immortalized Embyonic Kidney Cells
ACH-001398,background,0.5,0.5311570911650698,0.4,-0.4453684809999999,-0.7280915,0.2827230190000001,True,False,Renal Cell Carcinoma
ACH-001532,background,0.3,0.6644669824870351,0.3,-0.49732442,-0.853918,0.35659357999999997,False,False,Rhabdoid Cancer
ACH-001687,background,0.4,0.6390286065057106,0.3,-0.44982442999999994,-0.6998068999999999,0.24998246999999996,True,True,Renal Clear Cell Carcinoma
ACH-002528,background,0.5,0.752163695780975,0.5,-0.5216953,-0.670551,0.14885570000000004,True,True,Renal Clear Cell Carcinoma
ACH-002533,background,0.5,0.7279043931995207,0.1,-0.44021968000000006,-0.5456766,0.1054569199999999,True,False,Renal Cell Carcinoma
ACH-000096,shared_multiomics,0.4,0.6931168029871877,0.3,-0.39208064699999995,-0.6502321,0.25815145300000003,False,False,Rhabdoid Cancer
ACH-000159,shared_multiomics,0.5,0.8592536501550196,0.3,-0.5103819,-0.6351145,0.12473259999999997,True,True,Renal Clear Cell Carcinoma
ACH-000189,shared_multiomics,0.6,0.780157979058624,0.7,-0.4789823999999999,-0.6278629,0.14888050000000008,True,False,Renal Cell Carcinoma
ACH-000250,shared_multiomics,0.4,0.7656228943621213,0.4,-0.49981679999999995,-0.6660372,0.16622040000000005,True,True,Renal Clear Cell Carcinoma
ACH-000262,shared_multiomics,0.5,0.6362712075273919,0.4,-0.42884209999999995,-0.5551928,0.1263507000000001,True,True,Renal Clear Cell Carcinoma
ACH-000272,shared_multiomics,0.3,0.5669959792877406,0.3,-0.33748010000000006,-0.5342117000000001,0.1967316,True,True,Renal Clear Cell Carcinoma
ACH-000313,shared_multiomics,0.4,0.5217357511462698,0.4,-0.4619827000000001,-0.7498576,0.28787489999999993,True,True,Renal Clear Cell Carcinoma
ACH-000385,shared_multiomics,0.3,0.7117448002237831,0.2,-0.42473479999999997,-0.5212934,0.09655860000000005,True,False,Renal Cell Carcinoma
ACH-000459,shared_multiomics,0.2,0.3927630446055405,0.3,-0.4620635699999999,-0.8718335999999999,0.40977002999999995,True,True,Renal Clear Cell Carcinoma
ACH-000484,shared_multiomics,0.4,0.5428103920745497,0.3,-0.43019371,-0.7109118000000001,0.2807180900000001,True,False,Renal Cell Carcinoma
ACH-000495,shared_multiomics,0.5,0.8053508228076349,0.4,-0.51929617,-0.6473182,0.12802203,True,False,Renal Cell Carcinoma
ACH-000533,shared_multiomics,0.5,0.6625584957596599,0.5,-0.5484484500000001,-0.826357,0.2779085499999999,False,False,Rhabdoid Cancer
ACH-000649,shared_multiomics,0.4,0.6339664300593979,0.3,-0.4861147,-0.650493,0.16437829999999998,True,True,Renal Clear Cell Carcinoma
ACH-000684,shared_multiomics,0.3,0.7121278913557432,0.3,-0.36175196,-0.5640476000000001,0.2022956400000001,True,True,Renal Clear Cell Carcinoma
ACH-000709,shared_multiomics,0.3,0.5851331009626215,0.1,-0.31850856568,-0.5092555000000001,0.19074693432000006,True,True,Renal Clear Cell Carcinoma
ACH-000907,shared_multiomics,0.3,0.5467836950575258,0.3,-0.33276309000000004,-0.5969775,0.26421441,True,True,Renal Clear Cell Carcinoma
ACH-001163,shared_multiomics,0.3,0.7164669389021454,0.3,-0.4151772,-0.5898921999999999,0.17471499999999984,True,False,Renal Medullary Carcinoma
ACH-001194,shared_multiomics,0.7,0.7736890601624006,0.5,-0.7309913,-0.7910143999999999,0.060023099999999885,True,False,Renal Cell Carcinoma
ACH-001310,shared_multiomics,0.5,0.7185761176245123,0.5,-0.4727779,-0.6643793,0.19160140000000003,False,False,Immortalized Embyonic Kidney Cells
ACH-001398,shared_multiomics,0.5,0.5195939489297303,0.4,-0.4453684809999999,-0.7280915,0.2827230190000001,True,False,Renal Cell Carcinoma
ACH-001532,shared_multiomics,0.5,0.7938355670792039,0.5,-0.6518342199999999,-0.853918,0.20208378000000005,False,False,Rhabdoid Cancer
